Nama Film,Genre
Dilan,"Romance, Drama"
Film Pesugihan Sate Gagak,"Horor, Komedi"
Agak Laen: Menyala Pantiku,Comedy
The Garfield Movie,"Animation, Comedy"
Despicable Me 3,"Animation, Comedy"
Hobbs & Shaw (2019),"Action, Spin-off"
The Secret Life of Pets,"Animation, Comedy"
Home Alone 4: Taking Back the House,"Comedy, Family"
The Incredible Hulk,"Action, Superhero"
Venom,"Action, Superhero"
Black Widow,"Action, Thriller"
A Whisker Away,"Animation, Romance"
Jurassic World Rebirth,"Sci-Fi, Adventure"
Captain Marvel,"Action, Superhero"
Doraemon: Nobita and the Winged Braves,"Animation, Adventure"
Frozen II,"Animation, Musical"
Captain America: The First Avenger,"Action, Superhero"
Home Alone 2: Lost in New York,"Comedy, Family"
Doraemon: Nobita and the Tin Labyrinth,"Animation, Adventure"
Doraemon: Great Battle of the Mermaid King,"Animation, Adventure"
The Fast and the Furious (2001),"Action, Crime"
Elemental,"Animation, Romance"
Fast & Furious 6 (2013),Action
Iron Man 2,"Action, Superhero"
Thor,"Action, Superhero"
Doraemon: Nobita’s Dorabian Nights,"Animation, Adventure"
Doraemon: Nobita and the Windmasters,"Animation, Fantasy"
Doraemon: The Green Giant Legend,"Animation, Fantasy"
Last Night in Soho,"Thriller, Psychological"
Lilo & Stitch,"Animation, Family"
The Conjuring: Last Rites,Horror
Minions,"Animation, Comedy"
Minions: The Rise of Gru,"Animation, Comedy"
Despicable Me 4,"Animation, Comedy"
Furious 7 (2015),Action
Doraemon: Nobita and the Haunts of Evil,"Animation, Adventure"
Doraemon: Nobita in the Robot Kingdom,"Animation, Sci-Fi"
Doraemon: Nobita’s Secret Gadget Museum,"Animation, Adventure"
Friend Zone,"Romance, Comedy"
Pirates of the Caribbean: At World’s End,"Adventure, Fantasy"
Beauty and the Beast,"Fantasy, Musical"
Sing (2016),"Animation, Musical, Comedy"
The Lion King,"Animation, Drama"
Doraemon: Nobita’s Three Visionary Swordsmen,"Animation, Fantasy"
Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,"Animation, Adventure"
Now You See Me,"Crime, Heist"
A Quiet Place Part II,"Horror, Thriller"
Fast Five (2011),"Action, Heist"
Ant-Man,"Action, Superhero"
Black Panther,"Action, Superhero"
Haikyuu!! Land vs Air,"Animation, Sports"
Doraemon: Nobita and the New Steel Troops - Winged Angels,"Animation, Sci-Fi"
Despicable Me 2,"Animation, Comedy"
Toy Story,"Animation, Family"
Up,"Animation, Adventure"
Ant-Man and the Wasp,"Action, Superhero"
The Maze Runner,"Sci-Fi, Action"
Luck,"Animation, Fantasy"
Luca,"Animation, Family"
Spider-Man: Homecoming,"Action, Superhero"
Spider-Man: Far From Home,"Action, Superhero"
Haikyuu!! The Movie: The End and the Beginning,"Animation, Sports"
Stand by Me Doraemon,"Animation, Family"
Frozen,"Animation, Musical"
Sing 2 (2021),"Animation, Musical, Comedy"
Your Name,"Animation, Romance"
Toy Story 3,"Animation, Family"
The Fate of the Furious (2017),Action
2 Fast 2 Furious (2003),"Action, Crime"
F9: The Fast Saga (2021),Action
Doctor Strange,"Action, Fantasy"
Weathering With You,"Animation, Romance"
Haikyuu!! The Movie: The Winner and the Loser,"Animation, Sports"
Stand by Me Doraemon 2,"Animation, Family"
A Quiet Place,"Horror, Thriller"
Fast & Furious (2009),"Action, Crime"
Pee Mak,"Horror, Comedy"
Moana,"Animation, Adventure"
Guardians of the Galaxy Vol. 2,"Action, Sci-Fi"
Deadpool & Wolverine,"Action, Superhero"
Haikyuu!! The Movie: Talent and Sense,"Animation, Sports"
Bad Genius,"Thriller, Heist"
The Incredibles 2,"Animation, Superhero"
Despicable Me,"Animation, Comedy"
The Adam Project,"Sci-Fi, Adventure"
The Karate Kid,"Drama, Sport"
Raya and the Last Dragon,"Animation, Fantasy"
Shang-Chi and the Legend of the Ten Rings,"Action, Fantasy"
Kung Fu Panda 4,"Animation, Action"
John Wick: Chapter 4,"Action, Thriller"
Captain America: The Winter Soldier,"Action, Thriller"
Kuroko’s Basketball: Last Game,"Animation, Sports"
Home Alone,"Comedy, Family"
Toy Story 4,"Animation, Family"
WALL-E,"Animation, Sci-Fi"
Fast & Furious,Action
Jumanji: Welcome to the Jungle,"Adventure, Comedy"
Captain America: Civil War,"Action, Superhero"
My Hero Academia: Heroes Rising,"Animation, Action"
Haikyuu!! The Movie: Battle of Concepts,"Animation, Sports"
Big Hero 6,"Animation, Superhero"
Home,"Animation, Comedy"
Spirited Away,"Animation, Fantasy"
Weapons,"Horror, Thriller"
Divergent,"Sci-Fi, Action"
Doctor Strange in the Multiverse of Madness,"Action, Fantasy"
Pirates of the Caribbean: Dead Man’s Chest,"Adventure, Fantasy"
John Wick: Chapter 4,"Action, Thriller"
Fast X (2023),Action
Death on the Nile,"Mystery, Crime"
Maze Runner: The Scorch Trials,"Sci-Fi, Action"
Avatar: The Way of Water,"Sci-Fi, Adventure"
Trolls Band Together,"Animation, Musical"
Iron Man,"Action, Superhero"
Toy Story 2,"Animation, Family"
Demon Slayer: Mugen Train,"Animation, Action"
Ballerina,"Action, Thriller"
John Wick,"Action, Thriller"
John Wick: Chapter 3 - Parabellum,"Action, Thriller"
John Wick: Chapter 2,"Action, Thriller"
Deadpool & Wolverine,"Action, Superhero"
Mission: Impossible - Dead Reckoning Part Two (2024),"Action, Spy"
Mission: Impossible - Fallout (2018),"Action, Spy"
Deadpool 2,"Action, Superhero"
Tokyo Drift (2006),"Action, Crime"
Now You See Me 2,"Crime, Heist"
Venom: The Last Dance,"Action, Superhero"
The Avengers,"Action, Superhero"
Guardians of the Galaxy,"Action, Sci-Fi"
I Want to Eat Your Pancreas,"Animation, Drama"
Deadpool,"Action, Superhero"
Zootopia,"Animation, Mystery"
The Incredibles,"Animation, Superhero"
Aladdin,"Fantasy, Musical"
Coco,"Animation, Family"
Spider-Man: Across the Spider-Verse,"Animation, Superhero"
Nanti Kita Cerita Tentang Hari Ini,"Drama, Family"
Uncharted,"Action, Adventure"
Ant-Man and the Wasp: Quantumania,"Action, Superhero"
Chinese Zodiac (CZ12),"Action, Adventure"
Venom: The Last Dance,"Action, Superhero"
My Neighbor Totoro,"Animation, Family"
A Silent Voice,"Animation, Drama"
Inside Out,"Animation, Psychology"
Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy"
Black Panther: Wakanda Forever,"Action, Superhero"
The Darkest Minds,"Sci-Fi, Thriller"
Bad Genius,"Thriller, Heist"
The King’s Man,"Action, Spy"
Venom: Let There Be Carnage,"Action, Superhero"
Maze Runner: The Death Cure,"Sci-Fi, Action"
Bad Boys: Ride or Die,"Action, Comedy"
Spider-Man: No Way Home,"Action, Superhero"
Avengers: Infinity War,"Action, Superhero"
Avengers: Endgame,"Action, Superhero"
Red Notice,"Action, Comedy"
Mission: Impossible - Dead Reckoning Part One (2023),"Action, Spy"
